,,NCBI Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,GTDB Domain,GTDB Phylum,GTDB Class,GTDB Order,GTDB Family,GTDB Genus,GTDB Species,Sequencing Depth,Sequencing Method,Sequencing Quality,Sequencing Status,Sequencing Strategy,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity,Genome Size  * assembled,Gene Count  * assembled
446,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC033_MetaG,DOE Joint Genome Institute  (JGI),3300009685,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1040389830,1812272
447,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC035_MetaG,DOE Joint Genome Institute  (JGI),3300009687,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1085894076,1881427
448,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_STIC08_MetaG,DOE Joint Genome Institute  (JGI),3300009688,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1031799623,1920373
449,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA4_MetaG,DOE Joint Genome Institute  (JGI),3300009689,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,853523972,1465219
450,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC034_MetaG,DOE Joint Genome Institute  (JGI),3300009690,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1120947625,1960630
451,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHW2_MetaG,DOE Joint Genome Institute  (JGI),3300009692,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1144776348,1989645
452,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC097_MetaG,DOE Joint Genome Institute  (JGI),3300009693,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1110192644,1994986
453,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHW1_MetaG,DOE Joint Genome Institute  (JGI),3300009694,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1193378245,2049768
454,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_STIC10_MetaG,DOE Joint Genome Institute  (JGI),3300009696,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1142716097,2119444
455,,*Microbiome,Permanent Draft,"Peatlands soil microbial communities from Germany and Austria, that are sulfate reducing","Peat soil microbial communities from Weissenstadt, Germany - Sb_50d_4_PS metaG",DOE Joint Genome Institute  (JGI),3300009700,Environmental,Terrestrial,Soil,Wetlands,Peat,"Peatlands soil microbial communities from Germany and Austria, that are sulfate reducing",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatlands soil,,,,,1552298103,2807158
456,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHG1_MetaG,DOE Joint Genome Institute  (JGI),3300009704,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,727411643,1306784
457,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from China - AD_SCU002_MetaG,DOE Joint Genome Institute  (JGI),3300009707,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,267104554,440293
458,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from China - AD_SCU001_MetaG,DOE Joint Genome Institute  (JGI),3300009708,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,280853303,463410
459,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC113_MetaG,DOE Joint Genome Institute  (JGI),3300009710,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,556179612,1079559
460,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNMR2_MetaG,DOE Joint Genome Institute  (JGI),3300009711,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,720528240,1439783
461,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNMR1_MetaG,DOE Joint Genome Institute  (JGI),3300009712,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,618227095,1239073
462,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC107_MetaG,DOE Joint Genome Institute  (JGI),3300009713,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,611335453,1205356
463,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNTR3_MetaG,DOE Joint Genome Institute  (JGI),3300009714,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,682311547,1296457
464,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS2_MetaG,DOE Joint Genome Institute  (JGI),3300009715,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,760620180,1365862
465,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC111_MetaG,DOE Joint Genome Institute  (JGI),3300009716,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,748531001,1411375
466,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS1_MetaG,DOE Joint Genome Institute  (JGI),3300009720,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,794434914,1419920
467,,*Microbiome,Permanent Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_17_100",DOE Joint Genome Institute  (JGI),3300009760,Environmental,Terrestrial,Soil,Wetlands,Peat,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,,384842802,657900
468,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Canada - AD_UKC129_MetaG,DOE Joint Genome Institute  (JGI),3300009761,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,409341632,782911
469,,*Microbiome,Permanent Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_17_40",DOE Joint Genome Institute  (JGI),3300009762,Environmental,Terrestrial,Soil,Wetlands,Peat,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,,444612018,813092
470,,*Microbiome,Permanent Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_19_40",DOE Joint Genome Institute  (JGI),3300009764,Environmental,Terrestrial,Soil,Wetlands,Peat,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,,514369900,922773
471,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS3_MetaG,DOE Joint Genome Institute  (JGI),3300009767,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,834586994,1506220
472,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC115_MetaG,DOE Joint Genome Institute  (JGI),3300009768,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,808269833,1527693
473,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA5_MetaG,DOE Joint Genome Institute  (JGI),3300009769,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,916135866,1689732
474,,*Microbiome,Permanent Draft,"Anaerobic biogas reactor microbial communites from Washington, USA","Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R2_A C12 SIP DNA",DOE Joint Genome Institute  (JGI),3300009770,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,"Anaerobic biogas reactor microbial communites from Washington, USA",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic biogas reactor,,,,,855615378,1528422
475,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC032_MetaG,DOE Joint Genome Institute  (JGI),3300009771,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,830047872,1602718
476,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC105_MetaG,DOE Joint Genome Institute  (JGI),3300009772,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,846857797,1694386
477,,*Microbiome,Permanent Draft,"Anaerobic biogas reactor microbial communites from Washington, USA","Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R2_B C12 SIP DNA",DOE Joint Genome Institute  (JGI),3300009773,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,"Anaerobic biogas reactor microbial communites from Washington, USA",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic biogas reactor,,,,,907448647,1605420
478,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC109_MetaG,DOE Joint Genome Institute  (JGI),3300009775,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,885675182,1740889
479,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC030_MetaG,DOE Joint Genome Institute  (JGI),3300009776,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,910918723,1761190
480,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC117_MetaG,DOE Joint Genome Institute  (JGI),3300009778,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1055932134,1933070
481,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC119_MetaG,DOE Joint Genome Institute  (JGI),3300009779,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1076340142,2035672
482,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_STIC12_MetaG,DOE Joint Genome Institute  (JGI),3300009781,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1141446515,2269833
483,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC048_MetaG,DOE Joint Genome Institute  (JGI),3300009782,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1251786483,2330930
484,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC052_MetaG,DOE Joint Genome Institute  (JGI),3300009783,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,1300289832,2409518
485,,*Microbiome,Permanent Draft,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany","Embiratermes neotenicus P4 segment gut microbial communities from Petit-Saut dam, French Guiana - Emb289 P4",DOE Joint Genome Institute  (JGI),3300009784,Host-associated,Arthropoda: Insects,Digestive system,Gut,Unclassified,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,,2182300635,3006089
486,,*Microbiome,Permanent Draft,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany","Embiratermes neotenicus P1 segment gut microbial communities from Petit-Saut dam, French Guiana - Emb289 P1",DOE Joint Genome Institute  (JGI),3300009826,Host-associated,Arthropoda: Insects,Digestive system,Gut,Unclassified,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,,4118462945,6836016
487,,*Microbiome,Permanent Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC028_MetaG,DOE Joint Genome Institute  (JGI),3300009838,Engineered,Bioreactor,Anaerobic,Digestate,Unclassified,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,,872051895,1721392
488,,*Microbiome,Permanent Draft,Activated sludge microbial community in wastewater treatment plant from Tai Wan,Activated sludge microbial diversity in wastewater treatment plant from Tai Wan - Bali plant Bali plant,"Beijing Novogene Bioinformatics Technology Co., Ltd",3300009868,Engineered,Wastewater,Activated Sludge,Unclassified,Unclassified,Activated sludge microbial community in wastewater treatment plant from Tai Wan,,,,,,,,,Illumina HiSeq,Level 2: High-Quality Draft,Complete,Metagenome,Engineered,Wastewater,Unclassified,Activated Sludge,Unclassified,Wastewater,,,,,1824109622,2748717
489,,*Microbiome,Permanent Draft,Activated sludge microbial community analysis in wastewater treatment plant from Tai Wan,Activated sludge microbial diversity in wastewater treatment plant from Taiwan - Linkou plant,"Beijing Novogene Bioinformatics Technology Co., Ltd",3300009870,Engineered,WWTP,Activated sludge,Unclassified,Unclassified,Activated sludge microbial community analysis in wastewater treatment plant from Tai Wan,,,,,,,,,Illumina HiSeq,Level 2: High-Quality Draft,Complete,Metagenome,Engineered,WWTP,Unclassified,Activated sludge,Unclassified,activated sludge,,,,,2733908587,4207652
490,,*Microbiome,Permanent Draft,Draft genomes reconstructed from beer lees fermenting consortia,"Beer lees fermenting microbial communities from anaerobic reactor in biotech lab of the University of Hong Kong, China - sample2_75d",Beijing Genomics Institute (BGI),3300010011,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,Draft genomes reconstructed from beer lees fermenting consortia,,,,,,,,,,,Complete,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic reactor,,,,,92889813,106492
491,,*Microbiome,Permanent Draft,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany","Embiratermes neotenicus P3 segment gut microbial communities from Petit-Saut dam, French Guiana - Emb289 P3",DOE Joint Genome Institute  (JGI),3300010049,Host-associated,Arthropoda: Insects,Digestive system,Gut,Unclassified,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,,5107989241,9397752
492,,*Microbiome,Permanent Draft,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany","Labiotermes labralis P1 segment gut microbial communities from Petit-Saut dam, French Guiana - Lab288 P1 (version 2) (version 2)",DOE Joint Genome Institute  (JGI),3300010162,Host-associated,Arthropoda: Insects,Digestive system,Gut,Unclassified,"Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany",,,,,,,,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,,3054717051,4715749
